StationId,StationName,CountyName,TownName,StationLatitude,StationLongitude,StationAltitude,DateTime,Past1hr,Past10Min,Past3hr,Past6hr,Past12hr,Past24hr,NOW,Past2days,Past3days
81HB30,和雅茶園,南投縣,鹿谷鄉,23.702777,120.762222,1060,2025/7/29 00:00,0,0,0,0,0,7.5,7.5,10,62.5
81F970,松茂部落,臺中市,和平區,24.2775,121.263333,1730,2025/7/29 00:00,0,0,5.5,25,25,43,43,46,50
81F960,梨山部落,臺中市,和平區,24.257222,121.259166,2000,2025/7/29 00:00,0,0,3,22.5,22.5,36.5,36.5,38,39
81D770,秀巒國小,新竹縣,尖石鄉,24.618333,121.285833,850,2025/7/29 00:00,0,0,0.5,50.5,51,51,51,54.5,57.5
C0W220,北竿,連江縣,北竿鄉,26.220358,119.974881,40,2025/7/29 00:00,0,0,6,8.5,8.5,8.5,8.5,22,50
C0W200,湖西,澎湖縣,湖西鄉,23.596314,119.67275,18,2025/7/29 00:00,0,0,0,0,34.5,49,49,67,67
C0W190,望安,澎湖縣,望安鄉,23.380564,119.494075,52,2025/7/29 00:00,8.5,0,9,9,10.5,35,35,35.5,36
C0W180,七美,澎湖縣,七美鄉,23.219333,119.444892,29,2025/7/29 00:00,37,17,74,74,116,174,174,174,174
C2W230,畜試所澎湖,澎湖縣,西嶼鄉,23.628342,119.513206,35,2025/7/29 00:00,0,0,0,0,0.5,9.5,9.5,24,25
81T760,富南部落,花蓮縣,富里鄉,23.133056,121.246667,430,2025/7/29 00:00,0,0,0,0,0,6,6,6,6
81T990,高山部落,花蓮縣,豐濱鄉,23.691944,121.549444,20,2025/7/29 00:00,0,0,0,1.5,1.5,2,2,2,2
81AJ20,東山,新北市,汐止區,25.054444,121.696389,290,2025/7/29 00:00,2,1,6.5,18,18,18.5,18.5,23,25
81AJ30,華梵大學,新北市,石碇區,24.982222,121.690278,520,2025/7/29 00:00,0.5,0,2,3,3,3.5,3.5,6.5,10
C0D700,關西,新竹縣,關西鎮,24.797653,121.173239,155,2025/7/29 00:00,0.5,0,1,14,14,19,19,38,43.5
C0UB10,蘇澳,宜蘭縣,蘇澳鎮,24.596944,121.857089,28,2025/7/29 00:00,0,0,0,0,0.5,0.5,0.5,2.5,2.5
C0R930,萬丹,屏東縣,萬丹鄉,22.588475,120.485081,30,2025/7/29 00:00,2,0.5,41.5,44.5,92,192,192,208.5,248
C0FA50,霧峰,臺中市,霧峰區,24.041897,120.699472,58,2025/7/29 00:00,0,0,0,1,2,34.5,34.5,46.5,62
C0B060,暖暖,基隆市,暖暖區,25.095742,121.7403,83,2025/7/29 00:00,2.5,0,6.5,7,7.5,7.5,7.5,7.5,15.5
C0AJ80,板橋,新北市,板橋區,25.0111,121.448716,38,2025/7/29 00:00,0,0,2,2,6.5,6.5,6.5,7.5,8
C0M880,好美里,嘉義縣,布袋鎮,23.336427,120.138033,27,2025/7/29 00:00,6.5,0,6.5,6.5,49,117.5,117.5,120,141
C0K600,箔子寮,雲林縣,口湖鄉,23.619744,120.140036,14,2025/7/29 00:00,0,0,0,0,0,44,44,45.5,62.5
C0G970,三豐,彰化縣,大城鄉,23.881975,120.289544,19,2025/7/29 00:00,0,0,0,0,1.5,12.5,12.5,25.5,30.5
C0G960,福寶,彰化縣,福興鄉,24.044302,120.381361,5,2025/7/29 00:00,0,0,0,0,3,16,16,96.5,97
